Name,page_ref,Image,Natinality,PreferredPositions,Age,Overal,Potential,Club,ID,Height,Weight,PreferredFoot,best_overal,BP,Growth,Joined,LoanDateEnd,Value,Wage,ReleaseClause,Attacking,Crossing,Finishing,Heading,ShortPass,Volleys,Skill,Dribbling,Curve,FKAcc,LongPass,BallControl,Movement,Acceleration,SprintSpeed,Agility,Reactions,Balance,Power,ShotPower,Jumping,Stamina,Strength,LongShots,Mentality,Aggression,Interceptions,AttPosition,Vision,Penalties,Composure,Defending,Marking,StandTackle,SlideTackle,Goalkeeping,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Total,BaseStats,WeakFoot,SkillMoves,A/W,D/W,IR,PAC,SHO,PAS,DRI,DEF,PHY,PlayerWorkRate,BirthDate,Specialities,Club_ContractLength,Club_Position
Kai Havertz,/player/235790/kai-havertz/220069/,https://cdn.sofifa.net/players/235/790/22_60.png,Germany,CAM/CF/ST,22,84,91,Chelsea,235790,189cm,82kg,Left,86,CAM,7,"Sep 4, 2020",N/A,€85.5M,€130K,€175.3M,399,74,81,80,84,80,386,86,84,53,78,85,399,77,86,78,83,75,372,74,75,77,69,77,316,42,38,82,81,73,84,123,39,46,38,47,6,8,11,10,12,2042,434,4,4,Medium,Medium,3,82,78,79,84,45,66,Medium/Medium,"Jun 11, 1999",Dribbler,2025,RS
Riyad Mahrez,/player/204485/riyad-mahrez/220069/,https://cdn.sofifa.net/players/204/485/22_60.png,Algeria,RW/RM,30,86,86,Manchester City,204485,179cm,67kg,Left,86,RW,0,"Jul 10, 2018",N/A,€65.5M,€220K,€121.2M,380,81,84,56,83,76,419,91,85,78,75,90,426,84,79,92,83,88,355,84,56,75,57,83,333,48,39,83,83,80,83,98,45,31,22,54,15,9,13,11,6,2065,433,4,5,Medium,Medium,3,81,83,81,90,38,60,Medium/Medium,"Feb 21, 1991",Dribbler/Acrobat,2025,SUB
Daniel Parejo Muñoz,/player/189513/daniel-parejo-munoz/220069/,https://cdn.sofifa.net/players/189/513/22_60.png,Spain,CM,32,86,86,Villarreal,189513,182cm,74kg,Right,86,CM,0,"Aug 12, 2020",N/A,€53.5M,€64K,€112.4M,394,86,83,61,92,72,436,82,88,90,90,86,316,52,49,63,80,72,366,81,49,78,70,88,398,58,81,82,89,88,85,209,70,70,69,48,5,9,12,14,8,2167,444,4,3,Medium,Medium,2,50,83,90,81,71,69,Medium/Medium,"Apr 16, 1989",Playmaker/Crosser/FK Specialist/Complete Midfielder,2024,LCM
Kalidou Koulibaly,/player/201024/kalidou-koulibaly/220069/,https://cdn.sofifa.net/players/201/024/22_60.png,Senegal,CB,30,86,86,Napoli,201024,187cm,89kg,Right,86,CB,0,"Jul 1, 2014",N/A,€55.5M,€105K,€94.4M,213,30,22,84,63,14,253,69,28,28,64,64,333,74,91,51,83,34,316,55,82,70,94,15,288,83,85,35,52,33,81,265,90,89,86,43,7,11,7,13,5,1711,400,3,2,Medium,High,3,83,28,51,65,88,85,Medium/High,"Jun 20, 1991",Tackling/Strength,2023,LCB
Wilfred Ndidi,/player/226790/wilfred-ndidi/220069/,https://cdn.sofifa.net/players/226/790/22_60.png,Nigeria,CDM/CM,24,84,86,Leicester City,226790,183cm,74kg,Right,85,CB,2,"Jan 5, 2017",N/A,€49.5M,€110K,€97.8M,319,53,50,70,78,68,344,72,60,60,75,77,356,65,69,69,87,66,405,80,89,89,78,69,359,88,88,64,62,57,80,258,86,88,84,54,13,14,7,7,13,2095,439,4,3,Medium,High,1,67,62,68,74,85,83,Medium/High,"Dec 16, 1996",Tactician,2024,LDM
Franck Yannick Kessié,/player/230938/franck-yannick-kessie/220069/,https://cdn.sofifa.net/players/230/938/22_60.png,Côte d'Ivoire,CDM/CM/CAM,24,84,86,Milan,230938,183cm,88kg,Right,85,CDM,2,"Jul 1, 2019",N/A,€49.5M,€51K,€87.9M,350,66,73,68,83,60,346,78,61,48,75,84,386,77,79,70,81,79,413,84,72,93,86,78,406,84,84,74,76,88,84,247,85,84,78,54,9,11,12,12,10,2202,477,4,3,High,High,3,78,76,74,80,82,87,High/High,"Dec 19, 1996",Engine/Strength,2022,LDM
Kylian Mbappé,/player/231747/kylian-mbappe/220069/,https://cdn.sofifa.net/players/231/747/22_60.png,France,ST/LW,22,91,95,Paris Saint Germain,231747,182cm,73kg,Right,92,ST,4,"Jul 1, 2018",N/A,€194M,€230K,€373.5M,411,78,93,72,85,83,404,93,80,69,71,91,462,97,97,92,93,83,411,86,78,88,77,82,353,62,38,92,82,79,88,92,26,34,32,42,13,5,7,11,6,2175,470,4,5,High,Low,4,97,88,80,92,36,77,High/Low,"Dec 20, 1998",Speedster/Dribbler/Acrobat/Clinical Finisher/Complete Forward,2025,ST
Jules Koundé,/player/241486/jules-kounde/220069/,https://cdn.sofifa.net/players/241/486/22_60.png,France,CB/RB,22,83,89,Sevilla,241486,181cm,75kg,Right,84,CB,6,"Jul 3, 2019",N/A,€53M,€33K,€121.9M,283,45,47,79,80,32,286,69,42,26,75,74,393,81,82,71,85,74,332,48,88,76,80,40,313,75,86,47,62,43,82,253,85,85,83,56,11,10,8,14,13,1916,425,3,2,High,High,2,82,45,64,72,84,78,High/High,"Nov 12, 1998",Tactician,2024,RCB
Youri Tielemans,/player/216393/youri-tielemans/220069/,https://cdn.sofifa.net/players/216/393/22_60.png,Belgium,CM/CDM,24,84,87,Leicester City,216393,176cm,72kg,Right,86,CM,3,"Jul 8, 2019",N/A,€57M,€125K,€112.6M,390,82,74,67,89,78,416,81,84,78,88,85,350,67,55,67,84,77,394,87,66,85,69,87,385,68,73,80,87,77,85,211,70,73,68,50,6,8,10,14,12,2196,451,5,4,Medium,Medium,2,60,80,86,81,71,73,Medium/Medium,"May 7, 1997",Playmaker/Distance Shooter/Complete Midfielder,2023,RDM
Reece James,/player/238074/reece-james/220069/,https://cdn.sofifa.net/players/238/074/22_60.png,England,RWB/RB,21,83,87,Chelsea,238074,178cm,87kg,Right,83,RWB,4,"Mar 3, 2017",N/A,€49.5M,€90K,€95.3M,365,86,65,70,82,62,398,82,82,76,77,81,399,78,82,73,79,87,391,82,74,82,84,69,358,74,76,77,79,52,80,239,80,81,78,51,8,12,7,13,11,2201,470,3,3,High,Medium,2,80,69,81,81,78,81,High/Medium,"Dec 8, 1999",Crosser,2025,RWB
Moussa Diaby,/player/241852/moussa-diaby/220069/,https://cdn.sofifa.net/players/241/852/22_60.png,France,LM/RM/LW,21,83,88,Bayer 04 Leverkusen,241852,170cm,68kg,Left,84,LM,5,"Jul 1, 2019",N/A,€56M,€55K,€99.4M,327,76,78,28,78,67,359,88,71,42,73,85,450,96,92,92,77,93,317,73,62,74,44,64,319,67,48,77,77,50,75,129,48,35,46,47,8,9,8,8,14,1948,427,3,4,High,Low,2,94,72,75,87,42,57,High/Low,"Jul 7, 1999",Speedster/Dribbler/Acrobat,2025,LM
Jamie Vardy,/player/208830/jamie-vardy/220069/,https://cdn.sofifa.net/players/208/830/22_60.png,England,ST,34,86,86,Leicester City,208830,179cm,74kg,Right,86,ST,0,"May 1, 2012",N/A,€33M,€180K,€62.7M,394,69,89,78,74,84,351,78,69,61,60,83,411,85,85,76,90,75,377,87,80,76,66,68,384,86,49,90,74,85,86,151,45,52,54,62,15,14,7,15,11,2130,444,4,3,High,Medium,3,85,84,70,80,52,73,High/Medium,"Jan 11, 1987",,2023,SUB
João Félix Sequeira,/player/242444/joao-felix-sequeira/220069/,https://cdn.sofifa.net/players/242/444/22_60.png,Portugal,CF/ST,21,83,91,Atlético Madrid,242444,181cm,70kg,Right,86,CAM,8,"Jul 3, 2019",N/A,€82M,€61K,€184.5M,384,73,79,69,82,81,394,88,82,64,73,87,422,84,83,88,83,84,373,80,76,75,62,80,342,68,38,84,84,68,86,107,30,42,35,66,13,12,14,13,14,2088,434,4,5,Medium,Medium,2,83,79,78,87,40,67,Medium/Medium,"Nov 10, 1999",Dribbler/Acrobat,2026,SUB
Hugo Lloris,/player/167948/hugo-lloris/220069/,https://cdn.sofifa.net/players/167/948/22_60.png,France,GK,34,87,87,Tottenham Hotspur,167948,188cm,82kg,Left,87,GK,0,"Aug 31, 2012",N/A,€13.5M,€125K,€25.7M,90,13,10,9,43,15,108,12,12,10,45,29,317,61,62,54,84,56,221,49,74,41,43,14,156,31,25,9,51,40,59,54,24,12,18,408,88,83,65,84,88,1354,469,1,1,Medium,Medium,4,88,83,65,88,61,84,Medium/Medium,"Dec 26, 1986",,2024,GK
Thiago Alcântara,/player/189509/thiago-alcantara/220069/,https://cdn.sofifa.net/players/189/509/22_60.png,Spain,CM/CDM,30,86,86,Liverpool,189509,174cm,70kg,Right,86,CM,0,"Sep 18, 2020",N/A,€65M,€180K,€120.3M,373,78,68,54,91,82,432,89,85,77,89,92,390,72,55,89,84,90,366,75,82,76,60,73,398,78,82,75,88,75,90,216,68,74,74,46,6,11,7,9,13,2221,453,3,5,Medium,Medium,3,63,72,87,90,72,69,Medium/Medium,"Apr 11, 1991",Dribbler/Playmaker/Acrobat/Complete Midfielder,2024,LCM
Mason Mount,/player/233064/mason-mount/220069/,https://cdn.sofifa.net/players/233/064/22_60.png,England,CAM/RW,22,83,89,Chelsea,233064,180cm,74kg,Right,86,CAM,6,"Jan 10, 2016",N/A,€58.5M,€120K,€119.9M,383,83,80,59,86,75,415,82,82,83,83,85,390,77,73,80,84,76,361,81,54,86,58,82,360,68,59,81,83,69,84,153,55,57,41,56,11,12,13,8,12,2118,444,4,3,High,High,3,75,80,84,83,55,67,High/High,"Jan 10, 1999",Engine,2024,CAM
Ronald Araujo,/player/253163/ronald-araujo/220069/,https://cdn.sofifa.net/players/253/163/22_60.png,Uruguay,CB/RB,22,82,89,FC Barcelona,253163,192cm,91kg,Right,84,CB,7,"Aug 29, 2018",N/A,€57.5M,€125K,€129.4M,297,48,55,84,72,38,268,48,47,45,62,66,337,68,84,49,81,55,313,41,85,66,86,35,325,85,82,56,59,43,76,245,82,83,80,53,11,14,9,11,8,1838,405,3,2,Medium,High,1,77,47,61,57,82,81,Medium/High,"Mar 7, 1999",Strength,2026,RCB
Daniel Olmo Carvajal,/player/244260/daniel-olmo-carvajal/220069/,https://cdn.sofifa.net/players/244/260/22_60.png,Spain,CAM/CF,23,82,87,RB Leipzig,244260,179cm,72kg,Right,85,CAM,5,"Jan 25, 2020",N/A,€46M,€78K,€81.7M,355,78,74,43,84,76,398,86,72,75,79,86,390,77,58,86,83,86,345,79,55,80,54,77,339,51,57,82,83,66,82,144,50,50,44,66,15,15,13,12,11,2037,420,4,4,Medium,High,3,67,76,81,86,50,60,Medium/High,"May 7, 1998",Dribbler/Acrobat,,SUB
Yassine Bounou,/player/209981/yassine-bounou/220069/,https://cdn.sofifa.net/players/209/981/22_60.png,Morocco,GK,30,82,82,Sevilla,209981,192cm,78kg,Left,82,GK,0,"Sep 4, 2020",N/A,€20.5M,€29K,€43.1M,95,15,14,14,39,13,107,20,12,19,44,12,227,37,34,47,80,29,236,57,48,43,69,19,131,25,12,10,60,24,57,53,20,18,15,402,82,79,76,81,84,1251,438,2,1,Medium,Medium,1,82,79,76,84,36,81,Medium/Medium,"Apr 5, 1991",,2025,GK
Sandro Tonali,/player/241096/sandro-tonali/220069/,https://cdn.sofifa.net/players/241/096/22_60.png,Italy,CDM/CM,21,82,90,Milan,241096,181cm,79kg,Right,83,CDM,8,"Jul 8, 2021",N/A,€64.5M,€35K,€122.6M,353,63,69,70,83,68,394,75,75,81,80,83,407,78,83,81,82,83,389,79,65,85,81,79,381,84,81,75,77,64,84,237,81,81,75,44,13,9,8,7,7,2205,471,4,3,Medium,High,1,81,73,77,79,79,82,Medium/High,"May 8, 2000",,2026,RDM
Andrej Kramarić,/player/216354/andrej-kramaric/220069/,https://cdn.sofifa.net/players/216/354/22_60.png,Croatia,ST/CAM,30,82,82,TSG Hoffenheim,216354,177cm,73kg,Right,83,CF,0,"Jan 16, 2015",N/A,€30M,€54K,€51M,398,76,84,69,84,85,396,87,79,78,66,86,398,76,67,84,85,86,386,84,72,76,69,85,350,73,21,84,81,91,83,81,35,20,26,58,8,14,14,7,15,2067,423,4,4,Medium,Medium,3,71,85,79,86,30,72,Medium/Medium,"Jun 19, 1991",Dribbler,2025,LS
Noussair Mazraoui,/player/236401/noussair-mazraoui/220069/,https://cdn.sofifa.net/players/236/401/22_60.png,Morocco,RB,23,82,86,Ajax,236401,183cm,62kg,Right,83,RB,4,"Nov 1, 2016",N/A,€40.5M,€20K,€59.7M,350,78,69,65,82,56,350,82,67,42,75,84,397,83,84,86,77,67,354,68,69,88,68,61,353,69,80,84,76,44,79,231,74,77,80,56,12,7,13,12,12,2091,457,3,3,High,Low,2,84,66,76,82,76,73,High/Low,"Nov 14, 1997",,2022,RB
Raphael William Anjos Rochedo,/player/230168/raphael-william-anjos-rochedo/220069/,https://cdn.sofifa.net/players/230/168/22_60.png,Brazil,GK,33,82,82,Bragantino,230168,190cm,85kg,Right,82,GK,0,"Aug 13, 2021",N/A,€10M,€20K,€19M,55,10,8,11,18,8,73,9,9,18,16,21,240,41,42,34,82,41,240,58,67,29,79,7,142,34,23,20,51,14,67,50,20,17,13,401,79,84,77,83,78,1201,442,2,1,Medium,Medium,1,79,84,77,78,41,83,Medium/Medium,"Feb 29, 1988",,,GK
Youssef En-Nesyri,/player/235410/youssef-en-nesyri/220069/,https://cdn.sofifa.net/players/235/410/22_60.png,Morocco,ST/LW,24,82,86,Sevilla,235410,188cm,78kg,Left,84,ST,4,"Jan 16, 2020",N/A,€44M,€37K,€95.7M,366,48,89,84,69,76,340,84,63,56,58,79,351,75,81,68,80,47,393,83,83,76,76,75,311,76,31,82,52,70,74,85,27,31,27,58,13,9,14,9,13,1904,409,4,3,High,High,2,78,83,59,78,35,76,High/High,"Jun 1, 1997",,2025,SUB
Alexander Isak,/player/233731/alexander-isak/220069/,https://cdn.sofifa.net/players/233/731/22_60.png,Sweden,ST,21,82,86,Real Sociedad,233731,192cm,77kg,Right,84,ST,4,"Jul 1, 2019",N/A,€45M,€37K,€97.9M,381,61,83,75,79,83,345,80,70,65,47,83,393,82,85,79,81,66,379,84,71,72,75,77,318,52,29,86,76,75,77,64,25,21,18,40,7,6,9,7,11,1920,413,5,4,High,Low,2,84,82,69,80,29,69,High/Low,"Sep 21, 1999",,2026,SUB
Raúl Jiménez,/player/204838/raul-jimenez/220069/,https://cdn.sofifa.net/players/204/838/22_60.png,Mexico,ST,30,82,82,Wolverhampton Wanderers,204838,188cm,81kg,Right,82,ST,0,"Jul 1, 2019",N/A,€30M,€110K,€57M,395,73,81,80,81,80,363,82,75,51,75,80,369,67,79,76,82,65,396,84,74,81,83,74,387,82,53,82,78,92,81,113,45,38,30,55,7,11,13,14,10,2078,440,4,3,High,High,3,74,81,76,80,47,82,High/High,"May 5, 1991",,2024,ST
Gabriel Armando de Abreu,/player/201305/gabriel-armando-de-abreu/220069/,https://cdn.sofifa.net/players/201/305/22_60.png,Brazil,CB,30,82,82,Valencia,201305,185cm,72kg,Right,82,CB,0,"Aug 18, 2017",N/A,€25M,€44K,€52.5M,318,67,42,81,80,48,306,60,57,46,74,69,348,68,70,66,81,63,357,61,83,81,82,50,341,87,87,51,65,51,69,248,83,83,82,58,15,6,15,15,7,1976,421,2,2,Low,High,2,69,49,71,65,84,83,Low/High,"Nov 26, 1990",Tactician,2024,RCB
Gregor Kobel,/player/235073/gregor-kobel/220069/,https://cdn.sofifa.net/players/235/073/22_60.png,Switzerland,GK,23,82,87,Borussia Dortmund,235073,195cm,88kg,Right,82,GK,5,"Jul 1, 2021",N/A,€37M,€44K,€65.7M,85,13,10,13,39,10,116,24,13,12,33,34,211,34,36,37,80,24,237,56,60,30,81,10,119,24,14,10,59,12,66,45,15,15,15,402,83,80,74,79,86,1215,437,3,1,Medium,Medium,1,83,80,74,86,35,79,Medium/Medium,"Dec 6, 1997",,2026,GK
Pau Francisco Torres,/player/241464/pau-francisco-torres/220069/,https://cdn.sofifa.net/players/241/464/22_60.png,Spain,CB,24,82,89,Villarreal,241464,191cm,80kg,Left,84,CB,7,"Jul 1, 2016",N/A,€56.5M,€35K,€130M,289,55,28,85,80,41,292,64,45,28,76,79,345,70,74,69,80,52,336,58,78,80,80,40,312,79,82,42,67,42,73,251,84,84,83,59,11,13,13,13,9,1884,411,3,2,Medium,High,2,72,38,67,70,84,80,Medium/High,"Jan 16, 1997",,2024,LCB
Rafael da Conceição Leão,/player/241721/rafael-da-conceicao-leao/220069/,https://cdn.sofifa.net/players/241/721/22_60.png,Portugal,LW/ST/LM,22,82,90,Milan,241721,188cm,81kg,Right,83,RM,8,"Aug 1, 2019",N/A,€68.5M,€52K,€130.2M,362,69,80,63,76,74,376,89,80,60,62,85,427,90,92,82,83,80,369,80,62,75,80,72,301,60,24,80,74,63,81,67,22,24,21,57,10,12,15,11,9,1959,427,4,4,Medium,Low,1,91,77,72,86,27,74,Medium/Low,"Jun 10, 1999",Speedster/Dribbler,2024,LM
Marcus Rashford,/player/231677/marcus-rashford/220069/,https://cdn.sofifa.net/players/231/677/22_60.png,England,LW/RW/ST,23,82,86,Manchester United,231677,186cm,70kg,Right,83,RM,4,"Jul 1, 2014",N/A,€43.5M,€130K,€83.7M,373,75,81,68,76,73,393,83,83,76,70,81,416,85,91,85,80,75,397,92,74,80,73,78,347,69,39,78,76,85,75,111,40,38,33,53,11,6,15,7,14,2090,442,3,5,Medium,Low,3,88,82,75,82,41,74,Medium/Low,"Oct 31, 1997",,2023,SUB
James Maddison,/player/220697/james-maddison/220069/,https://cdn.sofifa.net/players/220/697/22_60.png,England,CAM,24,82,84,Leicester City,220697,175cm,73kg,Right,84,CAM,2,"Jun 20, 2018",N/A,€39.5M,€100K,€78M,345,81,75,35,84,70,421,83,86,84,82,86,395,78,71,87,76,83,342,83,54,74,51,80,352,68,44,81,85,74,84,166,59,65,42,65,11,14,14,12,14,2086,433,4,4,High,Medium,1,74,78,83,84,54,60,High/Medium,"Nov 23, 1996",,2024,RM
Renan Augusto Lodi dos Santos,/player/251573/renan-augusto-lodi-dos-santos/220069/,https://cdn.sofifa.net/players/251/573/22_60.png,Brazil,LB/LM,23,81,86,Atlético Madrid,251573,173cm,68kg,Left,81,LB,5,"Jul 7, 2019",N/A,€36.5M,€49K,€77.6M,353,81,66,70,77,59,375,81,81,57,75,81,414,85,83,85,80,81,375,76,77,84,70,68,356,78,75,76,73,54,79,228,73,76,79,55,12,7,11,10,15,2156,459,3,4,High,Medium,1,84,68,76,81,75,75,High/Medium,"Apr 8, 1998",,2025,SUB
Konrad Laimer,/player/225375/konrad-laimer/220069/,https://cdn.sofifa.net/players/225/375/22_60.png,Austria,CDM/CM/RB,24,82,84,RB Leipzig,225375,180cm,72kg,Right,83,CDM,2,"Jul 1, 2017",N/A,€35.5M,€70K,€63M,359,78,69,69,83,60,354,79,70,47,78,80,393,82,81,76,80,74,370,72,73,88,69,68,374,85,84,73,78,54,81,238,83,80,75,58,9,12,12,13,12,2146,463,3,3,Medium,High,2,81,68,78,79,80,77,Medium/High,"May 27, 1997",,,RAM
